expression,reading,meaning,tags,JLPT Level
作法,さほう,"manners, etiquette, propriety",JLPT JLPT_2 JLPT_3,3
様々,さまざま,"varied, various",JLPT JLPT_2 JLPT_3,3
冷ます,さます,"to cool, to let cool",JLPT JLPT_2 JLPT_3,3
覚ます,さます,to awaken,JLPT JLPT_2 JLPT_3,3
冷める,さめる,"to become cool, to wear off",JLPT JLPT_2 JLPT_3,3
覚める,さめる,"to wake, to wake up",JLPT JLPT_2 JLPT_3,3
左右,さゆう,left and right; influence,JLPT JLPT_2 JLPT_3,3
皿,さら,"plate, dish",JLPT Genki_Ln.14 JLPT_3 JLPT_2 Genki,3
更に,さらに,"furthermore, moreover",JLPT JLPT_2 JLPT_3,3
去る,さる,"to leave, to go away",JLPT JLPT_2 JLPT_3,3
猿,さる,monkey,JLPT JLPT_3 JLPT_2 Genki_Ln.22 Genki,3
騒ぎ,さわぎ,"uproar, disturbance",JLPT JLPT_2 JLPT_3,3
参加,さんか,participation,JLPT JLPT_2 JLPT_3,3
参考,さんこう,"reference, consultation",JLPT JLPT_2 JLPT_3,3
賛成,さんせい,"approval, agreement",JLPT JLPT_2 JLPT_3,3
酸性,さんせい,acidity,JLPT JLPT_2 JLPT_3,3
酸素,さんそ,oxygen,JLPT JLPT_2 JLPT_3,3
氏,し,"family name, lineage",JLPT JLPT_2 JLPT_3,3
詩,し,poem; poetry,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,3
幸せ,しあわせ,"happiness, blessing",JLPT JLPT_2 JLPT_3,3
ジーンズ,ジーンズ,jeans,JLPT JLPT_3 JLPT_2 Genki_Ln.2 Genki,3
ジェット機,ジェットき,jet plane,JLPT JLPT_2 JLPT_3,3
四角,しかく,square,JLPT JLPT_2 JLPT_3,3
直に,じかに,"immediately, readily, directly",JLPT JLPT_2 JLPT_3,3
しかも,しかも,"moreover, furthermore, besides, plus",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Intermediate_Japanese_Ln.2,3
四季,しき,four seasons,JLPT JLPT_2 JLPT_3,3
直,じき,"immediately, soon, shortly",JLPT JLPT_2 JLPT_3,3
時期,じき,"time, season, period",JLPT JLPT_2 JLPT_3,3
支給,しきゅう,"payment, allowance",JLPT JLPT_2 JLPT_3,3
至急,しきゅう,"urgent, pressing",JLPT JLPT_2 JLPT_3,3
しきりに,しきりに,"frequently, repeatedly, eagerly",JLPT JLPT_2 JLPT_3,3
刺激,しげき,"stimulus, impetus, incentive",JLPT JLPT_2 JLPT_3,3
資源,しげん,resources,JLPT JLPT_2 JLPT_3,3
事件,じけん,"event, affair, incident",JLPT JLPT_2 JLPT_3,3
時刻,じこく,"time, hour",JLPT JLPT_2 JLPT_3,3
自殺,じさつ,suicide,JLPT JLPT_2 JLPT_3,3
事実,じじつ,"fact, truth, reality",JLPT JLPT_2 JLPT_3,3
支出,ししゅつ,"expenditure, expenses",JLPT JLPT_2 JLPT_3,3
事情,じじょう,"circumstances, situation, reasons",JLPT JLPT_2 JLPT_3,3
詩人,しじん,poet,JLPT JLPT_2 JLPT_3,3
自身,じしん,oneself,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,3
沈む,しずむ,to sink; to feel depressed,JLPT JLPT_2 JLPT_3,3
自然,しぜん,"nature, spontaneous",JLPT JLPT_2 JLPT_3,3
思想,しそう,"thought, idea",JLPT JLPT_2 JLPT_3,3
舌,した,tongue,JLPT JLPT_2 JLPT_3,3
次第,しだい,order; circumstances; immediate(ly),JLPT JLPT_2 JLPT_3,3
従う,したがう,"to abide (by the rules), to obey",JLPT JLPT_2 JLPT_3,3
したがって,したがって,"therefore, consequently",JLPT JLPT_2 JLPT_3,3
親しい,したしい,"intimate, close (e.g., friend)",JLPT JLPT_2 JLPT_3,3
質,しつ,"quality, nature (of person)",JLPT JLPT_2 JLPT_3,3
失業,しつぎょう,unemployment,JLPT JLPT_2 JLPT_3,3
湿気,しっけ,"moisture, humidity, dampness",JLPT JLPT_2 JLPT_3,3
実験,じっけん,lab work; experiment,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,3
実現,じつげん,"implementation, materialization, realization",JLPT JLPT_2 JLPT_3,3
実行,じっこう,"practice, execution (e.g., program), realization",JLPT JLPT_2 JLPT_3,3
実際,じっさい,in fact; in actuality,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,3
実施,じっし,"enforcement, carry out, operation",JLPT JLPT_2 JLPT_3,3
湿度,しつど,humidity,JLPT JLPT_2 JLPT_3,3
じっと,じっと,"patiently, quietly",JLPT JLPT_2 JLPT_3,3
実に,じつに,"indeed, truly, surely",JLPT JLPT_2 JLPT_3,3
実は,じつは,actually; in fact,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,3
失望,しつぼう,"disappointment, despair",JLPT JLPT_2 JLPT_3,3
実力,じつりょく,ability; force,JLPT JLPT_2 JLPT_3,3
支店,してん,branch store (office),JLPT JLPT_3 JLPT_2 Genki_Ln.20 Genki,3
指導,しどう,"leadership, guidance, coaching",JLPT JLPT_2 JLPT_3,3
自動,じどう,"automatic, self-motion",JLPT JLPT_2 JLPT_3,3
児童,じどう,"children, juvenile",JLPT JLPT_2 JLPT_3,3
品,しな,"thing, article, goods",JLPT JLPT_2 JLPT_3,3
支配,しはい,"rule, control, direction",JLPT JLPT_2 JLPT_3,3
芝居,しばい,"play, drama",JLPT JLPT_2 JLPT_3,3
しばしば,しばしば,"often, again and again, frequently",JLPT JLPT_2 JLPT_3,3
芝生,しばふ,lawn,JLPT JLPT_2 JLPT_3,3
支払,しはらい,payment,JLPT JLPT_2 JLPT_3,3
支払う,しはらう,to pay,JLPT JLPT_2 JLPT_3,3
死亡,しぼう,death,JLPT JLPT_2 JLPT_3,3
資本,しほん,"funds, capital",JLPT JLPT_2 JLPT_3,3
姉妹,しまい,sisters,JLPT JLPT_2 JLPT_3,3
しまった (かん),しまった (かん),Damn it!,JLPT JLPT_2 JLPT_3,3
自慢,じまん,"pride, boast",JLPT JLPT_2 JLPT_3,3
地味,じみ,"quiet, plain, conservative",JLPT JLPT_2 JLPT_3,3
示す,しめす,"to show, to indicate",JLPT JLPT_2 JLPT_3,3
占める,しめる,to take up; to account for,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.14,3
湿る,しめる,"to be wet, to be damp",JLPT JLPT_2 JLPT_3,3
下,しも,"under, below, beneath",JLPT JLPT_2 JLPT_3,3
霜,しも,frost,JLPT JLPT_2 JLPT_3,3
借金,しゃっきん,"debt, loan, liabilities",JLPT JLPT_2 JLPT_3,3
しゃべる,しゃべる,"to talk, to chat, to chatter (same as 話す (はなす))",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,3
週,しゅう,week,JLPT JLPT_2 JLPT_3,3
州,しゅう,"state, province",JLPT JLPT_2 JLPT_3,3
銃,じゅう,gun,JLPT JLPT_2 JLPT_3,3
周囲,しゅうい,"surroundings, circumference, environs",JLPT JLPT_2 JLPT_3,3
収穫,しゅうかく,"harvest, crop, ingathering",JLPT JLPT_2 JLPT_3,3
